Agent,インストール可能機器,リリース日,検証状況（検証完了日）※
30.19.6,Windows/MacOS/Linux,2020/1/8,完了（2020/1/31）
30.19.8,Windows,2020/3/23,完了（2020/4/7）
31.28.4,Windows/MacOS/Linux,2020/1/27,完了（2020/2/17）
31.28.17,Windows/MacOS/Linux,2021/1/7,完了（2021/1/26）
32.30.0,Windows/MacOS/Linux,2020/5/14,完了（2020/6/8）
32.30.13,Windows/Linux,2020/10/29,完了（2020/12/4)
32.30.16,Windows/MacOS/Linux,2021/4/14,完了（2021/5/19）
33.22.6,Mac Big Sur (Ver.11) 以降のみ,2020/11/17,完了（2020/12/11）
33.46.0,Windows/MacOS/Linux MacOS版はBig Sur (Ver.11) 以降のみ,2021/5/20,完了（2021/7/5）
33.46.3,Windows,2021/7/29,完了（2021/9/15）
33.51.0,Mac Big Sur (Ver.11) 以降のみ,2021/7/22,完了（2021/12/10）
33.46.6,Windows、Linux,2021/11/2,完了（2021/12/10）
33.51.1,Mac Big Sur (Ver.11) 以降のみ,2021/11/2,完了（2021/12/10）
34.28.0,Windows/MacOS/Linux MacOS版はBig Sur (Ver.11) 以降のみ,2021/11/5,完了（2021/12/9）
34.28.1,Windows/MacOS/Linux MacOS版はBig Sur (Ver.11) 以降のみ,2021/12/17,完了（2022/1/14）
